Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.,Charge,Comment
2024.04.02  19.45.19,Current device parameters,,,9 d., 9:54:31,,,,2.08 mR,None,None,None,15.8°C,98.70%
2024.04.02  19.44.53,Current data values,681,426 cpm,,0:01:36,9.57 µR/h,25.40%,,None,None,None,,,
2024.04.02  19.43.19,Current device parameters,,,9 d., 9:52:31,,,,2.08 mR,None,None,None,15.7°C,98.80%
2024.04.02  19.43.17,Current data values,722,451 cpm,,0:01:36,12.3 µR/h,25.30%,,None,None,None,,,
2024.04.02  19.41.41,Current data values,739,462 cpm,,0:01:36,12.1 µR/h,23.10%,,None,None,None,,,
2024.04.02  19.41.19,Current device parameters,,,9 d., 9:50:31,,,,2.08 mR,None,None,None,15.6°C,98.80%
2024.04.02  19.40.05,Current data values,591,369 cpm,,0:01:36,9.45 µR/h,26.50%,,None,None,None,,,
2024.04.02  19.39.19,Current device parameters,,,9 d., 9:48:31,,,,2.08 mR,None,None,None,15.5°C,98.80%
2024.04.02  19.38.29,Current data values,463,289 cpm,,0:01:36,7.49 µR/h,31.30%,,None,None,None,,,
2024.04.02  19.37.19,Current device parameters,,,9 d., 9:46:31,,,,2.08 mR,None,None,None,15.4°C,98.80%
2024.04.02  19.36.53,Current data values,421,263 cpm,,0:01:36,7.49 µR/h,29.30%,,None,None,None,,,
2024.04.02  19.35.17,Current data values,540,338 cpm,,0:01:36,10.1 µR/h,26.40%,,None,None,None,,,
2024.04.02  19.33.41,Current data values,522,326 cpm,,0:01:36,9.66 µR/h,27.80%,,None,None,None,,,
2024.04.02  19.32.05,Current data values,556,348 cpm,,0:01:36,9.83 µR/h,28%,,None,None,None,,,
2024.04.02  19.30.29,Current data values,446,279 cpm,,0:01:36,7.04 µR/h,31.20%,,None,None,None,,,
2024.04.02  19.28.53,Current data values,556,348 cpm,,0:01:36,11.3 µR/h,27.90%,,None,None,None,,,
2024.04.02  19.28.19,Current device parameters,,,9 d., 9:37:31,,,,2.08 mR,None,None,None,15.3°C,98.90%
2024.04.02  19.27.17,Current data values,657,411 cpm,,0:01:36,10.7 µR/h,24.90%,,None,None,None,,,
2024.04.02  19.25.41,Current data values,644,402 cpm,,0:01:36,12.4 µR/h,23.50%,,None,None,None,,,
2024.04.02  19.25.19,Current device parameters,,,9 d., 9:34:31,,,,2.08 mR,None,None,None,15.4°C,99.10%
2024.04.02  19.23.49,Current data values,853,400 cpm,,0:02:08,11 µR/h,22.10%,,None,None,None,,,
2024.04.02  19.22.49,Current data values,753,353 cpm,,0:02:08,11.6 µR/h,22.10%,,None,None,None,,,
2024.04.02  19.22.41,Current data values,769,577 cpm,,0:01:20,10.2 µR/h,24.60%,,None,None,None,,,
